Name,College,Major,SID
ZhangWei,NA,CS,001
LiMing,NA,CS,002
WangFang,NA,EE,003
ChenHao,NA,EE,004
LiuYang,NA,CS,005
ZhaoJing,NA,CS,006
SunPeng,NA,EE,007
ZhouJie,NA,CS,008
WuDi,NA,CS,009
ZhengKai,NA,EE,010
LinMei,NA,CS,011
GuoWei,NA,CS,012
TangYan,NA,EE,013
ShenJun,NA,CS,014
HeJing,NA,CS,015
GaoFeng,NA,EE,016
HuangLei,NA,CS,017
XuWei,NA,CS,018
HuYang,NA,EE,019
LuoBin,NA,CS,020
DengChao,SH,CS,021
FengTing,SH,EE,022
XiaoNan,SH,CS,023
ChengYu,SH,CS,024
CaoJing,SH,EE,025
YuanHao,SH,CS,026
DingLei,SH,CS,027
DengLi,SH,EE,028
WangMing,SH,CS,029
ChenXue,SH,CS,030
ZhouTao,SH,EE,031
WuShan,SH,CS,032
ZhengYun,SH,CS,033
LinXuan,SH,EE,034
GuoRui,SH,CS,035
TangXin,SH,CS,036
ShenMeng,SH,EE,037
HeFan,SH,CS,038
GangWei,SH,CS,039
HuangYing,SH,EE,040
XuKai,SH,CS,041
HuXue,SH,CS,042
LuoJing,SH,EE,043
DengYang,SH,CS,044
FengHao,SH,CS,045
XiaoMei,SH,EE,046
ChengLin,SH,CS,047
CaoWei,SH,CS,048
YuanFang,SH,EE,049
DingXin,SH,CS,050
