Name,College,Major,SID,Continent
JohnSmith,NA,CS,051,NorthAmerica
MariaGarcia,NA,EE,052,SouthAmerica
ChenWei,NA,CS,053,Asia
AnnaIvanova,NA,CS,054,Europe
YukiTanaka,NA,EE,055,Asia
SophieMartin,NA,CS,056,Europe
CarlosLopez,NA,CS,057,SouthAmerica
AhmedHassan,NA,EE,058,Africa
EmmaWilson,NA,CS,059,Oceania
DavidKim,NA,CS,060,Asia
LauraSchmidt,NA,EE,061,Europe
JamesBrown,NA,CS,062,NorthAmerica
ElenaPopov,NA,CS,063,Europe
MichaelChen,NA,EE,064,Asia
SarahJones,NA,CS,065,NorthAmerica
DiegoRuiz,NA,CS,066,SouthAmerica
OlgaPetrova,NA,EE,067,Europe
KenjiSato,NA,CS,068,Asia
IsabellaCosta,NA,CS,069,SouthAmerica
HansWeber,NA,EE,070,Europe
MingLi,NA,CS,071,Asia
RachelCohen,NA,CS,072,NorthAmerica
AndreSilva,NA,EE,073,SouthAmerica
SofiaRossi,NA,CS,074,Europe
ParkJoon,NA,CS,075,Asia
CharlotteBrown,NA,EE,076,NorthAmerica
LuisTorres,NA,CS,077,SouthAmerica
KatyaMorozov,NA,CS,078,Europe
TakahashiYuki,NA,EE,079,Asia
EmmaDavis,NA,CS,080,Oceania
RaviPatel,NA,CS,081,Asia
MarieDubois,NA,EE,082,Europe
JoseGarcia,NA,CS,083,SouthAmerica
OlgaSokolov,NA,CS,084,Europe
HiroshiTanaka,NA,EE,085,Asia
LenaSchmidt,NA,CS,086,Europe
AlexandreSantos,NA,CS,087,SouthAmerica
WangFang,NA,EE,088,Asia
SophieTaylor,NA,CS,089,NorthAmerica
RicardoSantos,NA,CS,090,SouthAmerica
ElenaMartinez,NA,EE,091,Europe
KimSoo,NA,CS,092,Asia
OliverChen,NA,CS,093,NorthAmerica
AnaRodriguez,NA,EE,094,SouthAmerica
MikhailVolkov,NA,CS,095,Europe
LeeMin,NA,CS,096,Asia
ClaraKim,NA,EE,097,NorthAmerica
PedroFernandez,NA,CS,098,SouthAmerica
NatalieChen,NA,CS,099,Asia
GeorgeWilson,NA,EE,100,Oceania
